1 4187968
2 2124896
3 1360471
4 1095800
5 1300830
6 909325
7 863752
8 1223814
9 1009450
10 928376
11 721459
12 765317
13 648172
14 594706
15 634984
16 657593
17 656628
18 635995
19 614908
20 675831
21 557063
22 604202
23 843161
24 787090
25 640966
26 629306
27 754627
28 690562
29 901221
30 513658
